"filename", "language", "Markdown", "JavaScript", "JSON", "XML", "JSON with Comments", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"e:\bitcode-task\frontend\components\Loginform.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 7, 80
"e:\bitcode-task\frontend\components\Milestone.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"e:\bitcode-task\frontend\components\MiletoneDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 2, 51
"e:\bitcode-task\frontend\components\Navigation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 4, 41
"e:\bitcode-task\frontend\components\RegisterForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 83, 0, 14, 11, 108
"e:\bitcode-task\frontend\components\Roadmap.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 38, 0, 2, 2, 42
"e:\bitcode-task\frontend\error\page.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"e:\bitcode-task\frontend\eslint.config.mjs", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 5, 15
"e:\bitcode-task\frontend\hooks\useDeleteReply.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\bitcode-task\frontend\hooks\useEditReply.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\bitcode-task\frontend\hooks\useLikeComment.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 5, 42
"e:\bitcode-task\frontend\hooks\useLogin.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 7, 30
"e:\bitcode-task\frontend\hooks\useLogout.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"e:\bitcode-task\frontend\hooks\useMakeComment.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 10, 77
"e:\bitcode-task\frontend\hooks\useRegister.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 26, 11, 53
"e:\bitcode-task\frontend\hooks\useRoadmapLike.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\bitcode-task\frontend\hooks\useRoadmapUnlike.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"e:\bitcode-task\frontend\hooks\useUnlikeComment.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 5, 43
"e:\bitcode-task\frontend\hooks\useUser.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"e:\bitcode-task\frontend\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"e:\bitcode-task\frontend\libs\cn.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"e:\bitcode-task\frontend\libs\getRoadmaps.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"e:\bitcode-task\frontend\next.config.mjs", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 3, 7
"e:\bitcode-task\frontend\package-lock.json", "JSON", 0, 0, 6308, 0, 0, 0, 0, 0, 1, 6309
"e:\bitcode-task\frontend\package.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"e:\bitcode-task\frontend\postcss.config.mjs", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"e:\bitcode-task\frontend\public\file.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\bitcode-task\frontend\public\globe.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\bitcode-task\frontend\public\next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\bitcode-task\frontend\public\vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\bitcode-task\frontend\public\window.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"Total", "-", 23, 1801, 8063, 5, 7, 986, 44, 150, 441, 11520
